,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,pid
1,2010-08-05,LAD,SDP,9,PH-RF,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0
2,2010-08-03,LAD,SDP,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0
3,2010-07-31,LAD,@SFG,7,RF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,2.0
4,2010-07-29,LAD,@SDP,9,PH,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,2.0
5,2010-07-27,LAD,@SDP,7,LF,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.25,2.0
6,2010-07-24,LAD,NYM,7,LF,1,4,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,2.0
7,2010-07-22,LAD,NYM,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0
8,2010-07-19,LAD,SFG,9,PH-LF,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,2.0
9,2010-07-18,LAD,@STL,9,PH,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0,1.0,2.0
10,2010-07-17,LAD,@STL,9,LF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0
11,2010-07-16,LAD,@STL,9,PH,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,2.0
12,2010-07-15,LAD,@STL,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0
13,2010-07-11,LAD,CHC,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0
14,2010-07-10,LAD,CHC,2,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,2.0
15,2010-07-07,LAD,FLA,6,LF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,2.0
16,2010-07-05,LAD,FLA,8,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0
17,2010-07-03,LAD,@ARI,9,PH,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,2.0
18,2010-07-02,LAD,@ARI,6,LF,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.25,2.0
20,2010-06-30,LAD,@SFG,6,LF,1,5,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.0,0.0,2.0
21,2010-06-28,LAD,@SFG,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,2.0
22,2010-06-27,LAD,NYY,4,LF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0
23,2010-06-26,LAD,NYY,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0
24,2010-06-23,LAD,@LAA,6,LF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,2.0
25,2010-06-22,LAD,@LAA,5,LF,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.25,2.0
26,2010-06-20,LAD,@BOS,5,LF,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.25,2.0
27,2010-06-19,LAD,@BOS,7,LF,1,4,4,3,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.75,2.0
28,2010-06-18,LAD,@BOS,8,PH-LF,1,2,2,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0.0,0.5,2.0
29,2010-06-17,LAD,@CIN,6,LF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,2.0
30,2010-06-13,LAD,LAA,9,PH,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,2.0
31,2010-06-12,LAD,LAA,9,PH,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,2.0
32,2010-06-08,LAD,STL,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0
33,2010-06-07,LAD,STL,9,PH,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1.0,2.0
34,2010-06-06,LAD,ATL,6,LF,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,2.0
35,2010-06-05,LAD,ATL,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,2.0
36,2010-06-04,LAD,ATL,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0
37,2010-06-03,LAD,ATL,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0
38,2010-06-02,LAD,ARI,5,LF,1,6,6,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.16699999999999998,2.0
40,2010-06-01,LAD,ARI,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,2.0
41,2010-05-30,LAD,@COL,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0
42,2010-05-29,LAD,@COL,2,RF,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0.0,0.0,2.0
43,2010-05-28,LAD,@COL,9,PH,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1.0,2.0
44,2010-05-27,LAD,@CHC,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,2.0
45,2010-05-25,LAD,@CHC,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0
46,2010-05-23,LAD,DET,6,LF,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.5,2.0
47,2010-05-22,LAD,DET,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0
48,2010-05-20,LAD,SDP,6,LF,1,3,4,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0.33299999999999996,2.0
49,2010-05-19,LAD,SDP,9,PH-LF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0
50,2010-05-18,LAD,HOU,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,2.0
51,2010-05-16,LAD,@SDP,6,LF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,2.0
52,2010-05-15,LAD,@SDP,5,RF-LF,1,4,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.25,2.0
53,2010-05-14,LAD,@SDP,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0
54,2010-05-11,LAD,@ARI,9,PH,1,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.5,2.0
55,2010-05-10,LAD,@ARI,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0
56,2010-05-09,LAD,COL,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0
57,2010-05-08,LAD,COL,9,PH-RF,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,2.0
58,2010-05-06,LAD,MIL,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0
60,2010-05-05,LAD,MIL,9,PH,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1.0,2.0
61,2010-05-04,LAD,MIL,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0
62,2010-05-01,LAD,PIT,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,2.0
63,2010-04-29,LAD,PIT,2,LF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,2.0
64,2010-04-28,LAD,@NYM,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,2.0
65,2010-04-27,LAD,@NYM,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,2.0
66,2010-04-25,LAD,@WSN,7,LF,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0,0.0,2.0
67,2010-04-24,LAD,@WSN,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0
68,2010-04-23,LAD,@WSN,2,LF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0
69,2010-04-22,LAD,@CIN,9,PH,1,1,1,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0.0,1.0,2.0
70,2010-04-21,LAD,@CIN,7,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0
71,2010-04-20,LAD,@CIN,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0
72,2010-04-18,LAD,SFG,8,PH,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,2.0
73,2010-04-17,LAD,SFG,5,LF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,2.0
74,2010-04-16,LAD,SFG,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0
75,2010-04-15,LAD,ARI,8,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0
76,2010-04-14,LAD,ARI,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0
77,2010-04-11,LAD,@FLA,2,LF,1,5,5,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.2,2.0
78,2010-04-10,LAD,@FLA,2,RF,1,5,5,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0.0,0.2,2.0
79,2010-04-09,LAD,@FLA,9,PH-LF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,2.0
80,2010-04-08,LAD,@PIT,6,RF,1,3,5,1,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0.0,0.33299999999999996,2.0
81,2010-04-07,LAD,@PIT,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0
82,2010-04-05,LAD,@PIT,9,PH-RF,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,2.0
0,2004-04-23,KCR,MIN,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0
1,2004-04-17,KCR,@MIN,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0
0,2003-07-31,LAD,@PHI,9,1B,1,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.5,4.0
1,2003-07-29,LAD,@PHI,7,1B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,4.0
2,2003-07-27,LAD,@ARI,7,1B,1,4,4,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0.0,0.25,4.0
3,2003-07-25,LAD,@ARI,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,4.0
4,2003-07-24,LAD,COL,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0
5,2003-07-23,LAD,COL,6,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0
6,2003-07-22,LAD,COL,7,1B,1,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.33299999999999996,4.0
7,2003-07-21,LAD,COL,9,PH,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,4.0
8,2003-07-20,LAD,STL,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,4.0
9,2003-07-19,LAD,STL,9,1B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0
10,2003-07-18,LAD,STL,9,PH,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1.0,4.0
11,2003-07-12,LAD,@COL,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,4.0
12,2003-07-11,LAD,@COL,9,PH,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,4.0
13,2003-07-10,LAD,@STL,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0
14,2003-07-08,LAD,@SDP,7,1B,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.25,4.0
15,2003-07-06,LAD,ARI,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0
16,2003-07-04,LAD,ARI,9,PH,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,4.0
17,2003-07-03,LAD,SDP,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0
18,2003-07-02,LAD,SDP,9,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0
20,2003-07-01,LAD,SDP,4,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0
21,2003-06-29,LAD,@ANA,7,1B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,4.0
22,2003-06-28,LAD,@ANA,7,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,4.0
23,2003-06-27,LAD,@ANA,9,PH-LF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0
24,2003-06-23,LAD,@SFG,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0
25,2003-05-16,LAD,FLA,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0
26,2003-05-13,LAD,ATL,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0
27,2003-05-12,LAD,ATL,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0
28,2003-05-11,LAD,@MON,5,1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0
29,2003-05-08,LAD,@NYM,5,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0
30,2003-05-06,LAD,@NYM,8,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,4.0
0,2008-09-19,SDP,@WSN,9,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.0
1,2008-09-14,SDP,SFG,6,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.0
2,2008-09-13,SDP,SFG,9,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.0
3,2008-06-01,NYY,@MIN,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.0
0,2010-06-06,WSN,CIN,8,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.0
0,2004-08-21,TEX,@KCR,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.0
1,2004-08-16,TEX,CLE,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.0
2,2004-04-13,TEX,OAK,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.0
3,2004-04-09,TEX,ANA,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.0
0,2002-09-18,ANA,@OAK,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
1,2002-09-14,ANA,TEX,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
2,2002-09-12,ANA,OAK,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
3,2002-09-05,ANA,@TBD,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
4,2002-07-04,ANA,BAL,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
5,2002-06-28,ANA,LAD,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
6,2002-06-27,ANA,@TEX,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
7,2002-06-25,ANA,@TEX,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
8,2002-06-20,ANA,@STL,8,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
9,2002-06-18,ANA,@STL,9,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
10,2002-06-16,ANA,@LAD,6,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
11,2002-06-15,ANA,@LAD,3,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
12,2002-06-09,ANA,CIN,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
13,2002-06-08,ANA,CIN,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
14,2002-06-07,ANA,CIN,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
15,2002-06-06,ANA,TEX,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
16,2002-06-02,ANA,@MIN,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
17,2002-06-01,ANA,@MIN,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
18,2002-05-30,ANA,@MIN,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
20,2002-05-26,ANA,MIN,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
21,2002-05-25,ANA,MIN,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
22,2002-05-21,ANA,KCR,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
23,2002-05-20,ANA,KCR,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
24,2002-05-15,ANA,@DET,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
25,2002-05-09,ANA,DET,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
26,2002-05-07,ANA,DET,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
27,2002-05-02,ANA,@CLE,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
28,2002-05-01,ANA,@CLE,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
29,2002-04-28,ANA,TOR,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
30,2002-04-26,ANA,TOR,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
31,2002-04-24,ANA,@SEA,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
32,2002-04-21,ANA,@OAK,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
33,2002-04-20,ANA,@OAK,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
34,2002-04-18,ANA,@OAK,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
35,2002-04-14,ANA,OAK,0,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
