,Age,Bats/Throws,Height/Weight,Birthdate,Name,POS,pid
17,Age: 50,Bats/Throws: L/R,"6' 3"" / 190","5/22/1968 (50 y, 11 m, 29 d)",Al Levine,P,20.0
18,Age: 46,Bats/Throws: L/L,"6' 5"" / 240","3/8/1973 (46 y, 2 m, 13 d)",Mark Lukasiewicz,P,21.0
19,Age: 43,Bats/Throws: R/R,"6' 4"" / 223","2/3/1976 (43 y, 3 m, 18 d)",Bart Miadich,P,23.0
20,Age: 44,Bats/Throws: R/R,"5' 10"" / 233","7/20/1974 (44 y, 10 m, 1 d)",Bengie Molina,C,24.0
21,Age: 43,Bats/Throws: R/R,"6' 0"" / 250","6/3/1975 (43 y, 11 m, 18 d)",Jose Molina,C,25.0
22,Age: 43,Bats/Throws: R/R,"6' 1"" / 180","6/16/1975 (43 y, 11 m, 5 d)",Jose Nieves,SS,26.0
23,Age: 45,Bats/Throws: R/R,"6' 0"" / 175","5/23/1973 (45 y, 11 m, 28 d)",Ramon Ortiz,P,27.0
24,Age: 50,Bats/Throws: L/L,"5' 11"" / 185","1/19/1969 (50 y, 4 m, 2 d)",Orlando Palmeiro,OF,28.0
25,Age: 49,Bats/Throws: R/R,"6' 3"" / 255","8/9/1969 (49 y, 9 m, 12 d)",Troy Percival,P,29.0
26,Age: 47,Bats/Throws: R/R,"6' 3"" / 200","8/21/1971 (47 y, 9 m)",Lou Pote,P,30.0
27,Age: 41,Bats/Throws: R/R,"5' 11"" / 195","8/10/1977 (41 y, 9 m, 11 d)",Julio Ramirez,OF,31.0
28,Age: 50,Bats/Throws: R/R,"6' 3"" / 235","8/24/1968 (50 y, 8 m, 27 d)",Tim Salmon,OF,32.0
29,Age: 45,Bats/Throws: L/L,"6' 0"" / 190","10/2/1973 (45 y, 7 m, 19 d)",Scott Schoeneweis,P,33.0
30,Age: 48,Bats/Throws: R/R,"6' 3"" / 220","6/25/1970 (48 y, 10 m, 26 d)",Aaron Sele,P,34.0
31,Age: 43,Bats/Throws: R/R,"6' 1"" / 180","7/22/1975 (43 y, 9 m, 29 d)",Scot Shields,P,35.0
32,Age: 32,Bats/Throws: L/L,"5' 11"" / 210","8/26/1986 (32 y, 8 m, 25 d)",Xavier Cedeno,P,36.0
33,Age: 46,Bats/Throws: B/R,"6' 2"" / 215","9/21/1972 (46 y, 8 m)",Scott Spiezio,1B/2B,37.0
34,Age: 51,Bats/Throws: R/R,"6' 1"" / 205","7/11/1967 (51 y, 10 m, 10 d)",Donne Wall,P,39.0
35,Age: 44,Bats/Throws: L/L,"6' 1"" / 195","8/13/1974 (44 y, 9 m, 8 d)",Jarrod Washburn,P,40.0
36,Age: 49,Bats/Throws: R/R,"6' 4"" / 205","11/17/1969 (49 y, 6 m, 4 d)",Ben Weber,P,41.0
37,Age: 43,Bats/Throws: R/R,"6' 4"" / 200","11/18/1975 (43 y, 6 m, 3 d)",Matt Wise,P,42.0
38,Age: 46,Bats/Throws: R/R,"5' 10"" / 230","7/24/1972 (46 y, 9 m, 27 d)",Shawn Wooten,1B/DH,43.0
39,Age: 47,Bats/Throws: R/L,"6' 1"" / 190","4/26/1972 (47 y, 25 d)",Brian Anderson,P,44.0
40,Age: 43,Bats/Throws: R/R,"6' 2"" / 250","9/5/1975 (43 y, 8 m, 16 d)",Rod Barajas,C,45.0
41,Age: 48,Bats/Throws: R/R,"6' 1"" / 210","2/19/1971 (48 y, 3 m, 2 d)",Miguel Batista,P,46.0
42,Age: 46,Bats/Throws: R/R,"5' 11"" / 204","5/24/1972 (46 y, 11 m, 27 d)",Danny Bautista,OF,47.0
43,Age: 53,Bats/Throws: R/R,"6' 0"" / 185","12/11/1965 (53 y, 5 m, 10 d)",Jay Bell,SS,48.0
44,Age: 32,Bats/Throws: R/R,"6' 6"" / 265","9/11/1986 (32 y, 8 m, 10 d)",Kyle Blanks,1B/OF,49.0
45,Age: 40,Bats/Throws: B/R,"6' 2"" / 211","12/17/1978 (40 y, 5 m, 4 d)",Alex Cintron,SS,50.0
46,Age: 49,Bats/Throws: R/R,"6' 0"" / 215","7/26/1969 (49 y, 9 m, 25 d)",Greg Colbrunn,1B,51.0
47,Age: 48,Bats/Throws: L/R,"6' 0"" / 179","8/21/1970 (48 y, 9 m)",Craig Counsell,2B/3B/SS,52.0
48,Age: 54,Bats/Throws: L/L,"6' 2"" / 195","3/12/1965 (54 y, 2 m, 9 d)",Steve Finley,OF,54.0
49,Age: 51,Bats/Throws: L/R,"6' 2"" / 210","9/3/1967 (51 y, 8 m, 18 d)",Luis Gonzalez,OF,55.0
50,Age: 54,Bats/Throws: L/L,"6' 2"" / 200","6/28/1964 (54 y, 10 m, 23 d)",Mark Grace,1B,56.0
51,Age: 43,Bats/Throws: R/R,"6' 0"" / 216","5/17/1976 (43 y, 4 d)",Jose Guillen,OF,57.0
52,Age: 48,Bats/Throws: R/R,"6' 3"" / 255","12/15/1970 (48 y, 5 m, 6 d)",Rick Helling,P,58.0
53,Age: 44,Bats/Throws: R/R,"6' 0"" / 180","7/16/1974 (44 y, 10 m, 5 d)",Jonathan Johnson,P,59.0
54,Age: 55,Bats/Throws: R/L,"6' 10"" / 225","9/10/1963 (55 y, 8 m, 11 d)",Randy Johnson,P,60.0
55,Age: 40,Bats/Throws: R/R,"5' 9"" / 175","1/19/1979 (40 y, 4 m, 2 d)",Byung-Hyun Kim,P,61.0
56,Age: 44,Bats/Throws: L/L,"6' 0"" / 188","9/23/1974 (44 y, 7 m, 28 d)",Eric Knott,P,62.0
57,Age: 42,Bats/Throws: R/R,"5' 11"" / 175","8/30/1976 (42 y, 8 m, 21 d)",Mike Koplove,P,63.0
58,Age: 45,Bats/Throws: R/R,"6' 1"" / 205","7/7/1973 (45 y, 10 m, 14 d)",Matt Mantei,P,64.0
59,Age: 49,Bats/Throws: R/R,"6' 3"" / 220","10/13/1969 (49 y, 7 m, 8 d)",Damian Miller,C,65.0
60,Age: 44,Bats/Throws: R/R,"6' 3"" / 210","2/18/1975 (44 y, 3 m, 3 d)",Chad Moeller,C,66.0
61,Age: 59,Bats/Throws: R/R,"6' 2"" / 226","10/8/1959 (59 y, 7 m, 13 d)",Mike Morgan,P,67.0
62,Age: 49,Bats/Throws: L/L,"6' 3"" / 225","6/26/1969 (49 y, 10 m, 25 d)",Mike Myers,P,68.0
63,Age: 47,Bats/Throws: L/L,"6' 3"" / 205","11/23/1971 (47 y, 5 m, 28 d)",Eddie Oropesa,P,69.0
64,Age: 46,Bats/Throws: R/R,"5' 11"" / 170","11/28/1972 (46 y, 5 m, 23 d)",Jose Parra,P,70.0
65,Age: 41,Bats/Throws: R/R,"6' 6"" / 211","1/30/1978 (41 y, 3 m, 21 d)",John Patterson,P,71.0
66,Age: 53,Bats/Throws: R/R,"6' 0"" / 210","5/1/1966 (53 y, 20 d)",Armando Reynoso,P,72.0
67,Age: 52,Bats/Throws: R/R,"6' 5"" / 235","11/14/1966 (52 y, 6 m, 7 d)",Curt Schilling,P,73.0
68,Age: 44,Bats/Throws: R/R,"6' 0"" / 200","1/28/1975 (44 y, 3 m, 23 d)",Junior Spivey,2B,74.0
69,Age: 54,Bats/Throws: L/R,"6' 2"" / 210","5/20/1965 (54 y, 1 d)",Todd Stottlemyre,P,75.0
70,Age: 54,Bats/Throws: R/L,"6' 3"" / 239","1/2/1965 (54 y, 4 m, 19 d)",Greg Swindell,P,76.0
71,Age: 53,Bats/Throws: R/R,"6' 2"" / 219","11/28/1965 (53 y, 5 m, 23 d)",Matt Williams,3B,77.0
72,Age: 49,Bats/Throws: L/R,"5' 9"" / 175","9/25/1969 (49 y, 7 m, 26 d)",Tony Womack,2B/SS,78.0
73,Age: 49,Bats/Throws: R/R,"6' 1"" / 230","7/8/1969 (49 y, 10 m, 13 d)",Ernie Young,OF,79.0
74,Age: 47,Bats/Throws: R/R,"5' 11"" / 220","8/29/1971 (47 y, 8 m, 22 d)",Henry Blanco,C,81.0
75,Age: 38,Bats/Throws: L/L,"6' 3"" / 215","7/15/1980 (38 y, 10 m, 6 d)",Jung Bong,P,82.0
76,Age: 49,Bats/Throws: L/R,"5' 9"" / 180","9/7/1969 (49 y, 8 m, 14 d)",Darren Bragg,OF,83.0
77,Age: 51,Bats/Throws: R/R,"6' 1"" / 205","7/4/1967 (51 y, 10 m, 17 d)",Vinny Castilla,3B,84.0
78,Age: 39,Bats/Throws: R/R,"6' 5"" / 220","10/17/1979 (39 y, 7 m, 4 d)",John Ennis,P,85.0
79,Age: 41,Bats/Throws: L/L,"6' 0"" / 200","5/17/1978 (41 y, 4 d)",John Foster,P,86.0
80,Age: 60,Bats/Throws: R/R,"6' 1"" / 210","8/23/1958 (60 y, 8 m, 28 d)",Julio Franco,2B/SS,87.0
81,Age: 41,Bats/Throws: B/R,"5' 8"" / 195","10/24/1977 (41 y, 6 m, 27 d)",Rafael Furcal,SS,88.0
82,Age: 41,Bats/Throws: R/R,"5' 8"" / 175","5/18/1978 (41 y, 3 d)",Marcus Giles,2B,89.0
83,Age: 53,Bats/Throws: L/L,"6' 0"" / 204","3/25/1966 (53 y, 1 m, 26 d)",Tom Glavine,P,90.0
84,Age: 45,Bats/Throws: R/R,"6' 5"" / 230","11/15/1973 (45 y, 6 m, 6 d)",Kevin Gryboski,P,91.0
85,Age: 53,Bats/Throws: L/L,"6' 1"" / 210","1/21/1966 (53 y, 4 m)",Chris Hammond,P,92.0
86,Age: 43,Bats/Throws: R/R,"6' 4"" / 227","5/12/1976 (43 y, 9 d)",Wes Helms,1B/3B,94.0
87,Age: 53,Bats/Throws: R/R,"6' 0"" / 202","4/25/1966 (53 y, 26 d)",Darren Holmes,P,95.0
88,Age: 42,Bats/Throws: R/R,"6' 1"" / 225","4/23/1977 (42 y, 28 d)",Andruw Jones,OF,96.0
89,Age: 47,Bats/Throws: B/R,"6' 4"" / 210","4/24/1972 (47 y, 27 d)",Chipper Jones,3B,97.0
90,Age: 39,Bats/Throws: L/L,"6' 3"" / 220","2/20/1980 (39 y, 3 m, 1 d)",Ryan Langerhans,OF,98.0
91,Age: 32,Bats/Throws: L/L,"6' 1"" / 200","9/21/1986 (32 y, 8 m)",Zach Phillips,P,99.0
92,Age: 48,Bats/Throws: R/R,"6' 2"" / 220","5/11/1971 (48 y, 10 d)",Kerry Ligtenberg,P,100.0
93,Age: 43,Bats/Throws: L/R,"6' 0"" / 210","9/14/1975 (43 y, 8 m, 7 d)",George Lombard,OF,101.0
94,Age: 47,Bats/Throws: R/R,"6' 2"" / 240","8/18/1971 (47 y, 9 m, 3 d)",Albie Lopez,P,102.0
95,Age: 48,Bats/Throws: R/R,"6' 3"" / 220","11/5/1970 (48 y, 6 m, 16 d)",Javy Lopez,C,103.0
96,Age: 53,Bats/Throws: R/R,"6' 0"" / 197","4/14/1966 (53 y, 1 m, 7 d)",Greg Maddux,P,104.0
97,Age: 40,Bats/Throws: L/R,"6' 1"" / 220","8/21/1978 (40 y, 9 m)",Jason Marquis,P,105.0
98,Age: 44,Bats/Throws: R/R,"6' 4"" / 230","12/24/1974 (44 y, 4 m, 27 d)",Kevin Millwood,P,106.0
99,Age: 42,Bats/Throws: R/L,"6' 0"" / 187","11/24/1976 (42 y, 5 m, 27 d)",Damian Moss,P,107.0
100,Age: 44,Bats/Throws: R/R,"6' 1"" / 205","10/25/1974 (44 y, 6 m, 26 d)",Joe Nelson,P,108.0
101,Age: 33,Bats/Throws: R/R,"5' 9"" / 188","10/1/1985 (33 y, 7 m, 20 d)",Darren Ford,OF,109.0
102,Age: 39,Bats/Throws: L/L,"6' 1"" / 221","11/24/1979 (39 y, 5 m, 27 d)",Horacio Ramirez,P,110.0
103,Age: 53,Bats/Throws: L/L,"6' 1"" / 215","3/23/1966 (53 y, 1 m, 28 d)",Mike Remlinger,P,111.0
104,Age: 34,Bats/Throws: L/R,"6' 1"" / 215","10/13/1984 (34 y, 7 m, 8 d)",Steven Lerud,C,113.0
105,Age: 50,Bats/Throws: R/R,"6' 0"" / 215","11/18/1968 (50 y, 6 m, 3 d)",Gary Sheffield,OF,114.0
106,Age: 52,Bats/Throws: R/R,"6' 3"" / 220","5/15/1967 (52 y, 6 d)",John Smoltz,P,115.0
107,Age: 54,Bats/Throws: L/R,"6' 1"" / 215","8/4/1964 (54 y, 9 m, 17 d)",B.J. Surhoff,C/OF,117.0
108,Age: 41,Bats/Throws: R/R,"6' 0"" / 220","2/24/1978 (41 y, 2 m, 27 d)",Steve Torrealba,C,119.0
109,Age: 41,Bats/Throws: R/R,"6' 3"" / 220","12/10/1977 (41 y, 5 m, 11 d)",Dan Wheeler,P,120.0
110,Age: 44,Bats/Throws: R/R,"6' 1"" / 200","2/6/1975 (44 y, 3 m, 15 d)",Chad Allen,OF,122.0
111,Age: 51,Bats/Throws: R/R,"6' 3"" / 202","11/20/1967 (51 y, 6 m, 1 d)",Alex Arias,3B/SS,123.0
112,Age: 45,Bats/Throws: R/R,"6' 0"" / 208","12/9/1973 (45 y, 5 m, 12 d)",Tony Batista,3B,124.0
113,Age: 42,Bats/Throws: R/R,"6' 6"" / 225","1/10/1977 (42 y, 4 m, 11 d)",Rick Bauer,P,125.0
114,Age: 40,Bats/Throws: L/L,"6' 1"" / 200","3/5/1979 (40 y, 2 m, 16 d)",Erik Bedard,P,126.0
115,Age: 41,Bats/Throws: L/R,"6' 4"" / 215","11/4/1977 (41 y, 6 m, 17 d)",Larry Bigbie,OF,128.0
116,Age: 53,Bats/Throws: R/R,"5' 11"" / 175","7/21/1965 (53 y, 10 m)",Mike Bordick,SS,129.0
117,Age: 48,Bats/Throws: R/R,"6' 1"" / 185","2/5/1971 (48 y, 3 m, 16 d)",Chris Brock,P,130.0
118,Age: 52,Bats/Throws: R/R,"6' 1"" / 227","6/27/1966 (52 y, 10 m, 24 d)",Jeff Conine,1B/OF,131.0
119,Age: 49,Bats/Throws: R/R,"6' 0"" / 206","7/10/1969 (49 y, 10 m, 11 d)",Marty Cordova,OF,132.0
120,Age: 40,Bats/Throws: R/R,"6' 6"" / 220","4/28/1979 (40 y, 23 d)",Sean Douglass,P,133.0
121,Age: 47,Bats/Throws: R/R,"6' 0"" / 215","8/1/1971 (47 y, 9 m, 20 d)",Travis Driskill,P,134.0
122,Age: 51,Bats/Throws: R/R,"6' 4"" / 230","2/2/1968 (51 y, 3 m, 19 d)",Scott Erickson,P,137.0
123,Age: 49,Bats/Throws: R/R,"6' 0"" / 194","5/7/1970 (49 y, 14 d)",Brook Fordyce,C,138.0
124,Age: 43,Bats/Throws: R/R,"6' 3"" / 208","9/22/1975 (43 y, 7 m, 29 d)",Luis Garcia,OF,140.0
125,Age: 42,Bats/Throws: L/L,"6' 0"" / 195","3/2/1977 (42 y, 2 m, 19 d)",Jay Gibbons,OF,141.0
126,Age: 43,Bats/Throws: R/R,"6' 2"" / 225","8/7/1975 (43 y, 9 m, 14 d)",Geronimo Gil,C,142.0
127,Age: 53,Bats/Throws: L/L,"6' 2"" / 205","7/10/1965 (53 y, 10 m, 11 d)",Buddy Groom,P,143.0
128,Age: 42,Bats/Throws: R/R,"5' 10"" / 195","5/29/1976 (42 y, 11 m, 22 d)",Jerry Hairston,2B/OF,144.0
129,Age: 50,Bats/Throws: R/R,"6' 2"" / 195","11/13/1968 (50 y, 6 m, 8 d)",Pat Hentgen,P,145.0
130,Age: 45,Bats/Throws: R/R,"6' 6"" / 225","10/27/1973 (45 y, 6 m, 24 d)",Jason Johnson,P,147.0
131,Age: 40,Bats/Throws: R/R,"6' 1"" / 225","3/3/1979 (40 y, 2 m, 18 d)",Jorge Julio,P,148.0
132,Age: 42,Bats/Throws: R/R,"6' 1"" / 225","12/8/1976 (42 y, 5 m, 13 d)",Jose Leon,1B/3B,149.0
133,Age: 43,Bats/Throws: R/R,"6' 1"" / 185","12/14/1975 (43 y, 5 m, 7 d)",Rodrigo Lopez,P,150.0
134,Age: 44,Bats/Throws: R/R,"6' 0"" / 200","9/5/1974 (44 y, 8 m, 16 d)",Calvin Maduro,P,151.0
135,Age: 40,Bats/Throws: R/R,"6' 0"" / 215","10/30/1978 (40 y, 6 m, 21 d)",Luis Matos,OF,152.0
136,Age: 44,Bats/Throws: B/R,"6' 3"" / 225","8/25/1974 (44 y, 8 m, 26 d)",Gary Matthews Jr.,OF,153.0
137,Age: 47,Bats/Throws: L/L,"6' 0"" / 215","11/23/1971 (47 y, 5 m, 28 d)",Ryan McGuire,1B/OF,155.0
138,Age: 47,Bats/Throws: R/R,"6' 0"" / 224","6/3/1971 (47 y, 11 m, 18 d)",Izzy Molina,C,156.0
139,Age: 47,Bats/Throws: R/R,"5' 11"" / 200","2/7/1972 (47 y, 3 m, 14 d)",Melvin Mora,3B,157.0
140,Age: 45,Bats/Throws: R/R,"6' 0"" / 188","3/8/1974 (45 y, 2 m, 13 d)",Mike Moriarty,2B/SS,158.0
141,Age: 41,Bats/Throws: L/L,"5' 11"" / 198","11/26/1977 (41 y, 5 m, 25 d)",John Parrish,P,160.0
142,Age: 42,Bats/Throws: R/R,"6' 1"" / 260","11/2/1976 (42 y, 6 m, 19 d)",Sidney Ponson,P,161.0
143,Age: 44,Bats/Throws: L/L,"6' 2"" / 210","6/7/1974 (44 y, 11 m, 14 d)",Chris Richard,1B/OF,163.0
144,Age: 39,Bats/Throws: L/L,"6' 1"" / 225","8/2/1979 (39 y, 9 m, 19 d)",Matt Riley,P,164.0
145,Age: 41,Bats/Throws: B/R,"5' 9"" / 175","10/9/1977 (41 y, 7 m, 12 d)",Brian Roberts,2B,166.0
146,Age: 43,Bats/Throws: R/R,"6' 3"" / 240","6/19/1975 (43 y, 11 m, 2 d)",Willis Roberts,P,167.0
147,Age: 43,Bats/Throws: L/L,"6' 6"" / 255","12/28/1975 (43 y, 4 m, 23 d)",B.J. Ryan,P,168.0
148,Age: 52,Bats/Throws: B/L,"6' 1"" / 202","7/19/1966 (52 y, 10 m, 2 d)",David Segui,1B,169.0
149,Age: 46,Bats/Throws: L/L,"6' 2"" / 220","8/15/1972 (46 y, 9 m, 6 d)",Chris Singleton,OF,170.0
150,Age: 34,Bats/Throws: L/L,"6' 1"" / 200","1/22/1985 (34 y, 3 m, 29 d)",Scott Cousins,OF,173.0
151,Age: 50,Bats/Throws: R/R,"6' 4"" / 236","7/18/1968 (50 y, 10 m, 3 d)",Rolando Arrojo,P,174.0
152,Age: 50,Bats/Throws: B/R,"5' 11"" / 215","11/4/1968 (50 y, 6 m, 17 d)",Carlos Baerga,2B,175.0
153,Age: 44,Bats/Throws: R/R,"6' 2"" / 220","4/29/1975 (44 y, 22 d)",Rafael Betancourt,P,177.0
154,Age: 46,Bats/Throws: R/R,"6' 2"" / 231","4/21/1973 (46 y, 1 m)",Kevin Brown,C,178.0
155,Age: 54,Bats/Throws: R/R,"6' 3"" / 215","11/28/1964 (54 y, 5 m, 23 d)",John Burkett,P,179.0
156,Age: 50,Bats/Throws: R/R,"6' 1"" / 200","4/1/1969 (50 y, 1 m, 20 d)",Frank Castillo,P,180.0
157,Age: 46,Bats/Throws: B/R,"6' 7"" / 245","6/15/1972 (46 y, 11 m, 6 d)",Tony Clark,1B,182.0
158,Age: 45,Bats/Throws: L/L,"6' 2"" / 205","11/5/1973 (45 y, 6 m, 16 d)",Johnny Damon,OF,185.0
159,Age: 47,Bats/Throws: L/R,"6' 1"" / 230","2/11/1972 (47 y, 3 m, 10 d)",Brian Daubach,1B,186.0
160,Age: 45,Bats/Throws: R/R,"6' 2"" / 270","2/19/1974 (45 y, 3 m, 2 d)",Juan Diaz,1B/DH,187.0
161,Age: 41,Bats/Throws: L/L,"6' 1"" / 160","1/6/1978 (41 y, 4 m, 15 d)",Casey Fossum,P,188.0
162,Age: 48,Bats/Throws: R/R,"6' 0"" / 250","5/18/1971 (48 y, 3 d)",Rich Garces,P,189.0
163,Age: 45,Bats/Throws: R/R,"6' 0"" / 190","7/23/1973 (45 y, 9 m, 28 d)",Nomar Garciaparra,SS,190.0
164,Age: 46,Bats/Throws: R/R,"6' 2"" / 225","1/15/1973 (46 y, 4 m, 6 d)",Wayne Gomes,P,191.0
165,Age: 50,Bats/Throws: L/L,"6' 3"" / 210","11/16/1968 (50 y, 6 m, 5 d)",Chris Haney,P,192.0
166,Age: 29,Bats/Throws: R/R,"5' 11"" / 195","2/27/1990 (29 y, 2 m, 24 d)",Carlos Triunfel,SS,193.0
167,Age: 60,Bats/Throws: R/L,"5' 10"" / 190","12/25/1958 (60 y, 4 m, 26 d)",Rickey Henderson,OF,194.0
168,Age: 46,Bats/Throws: R/R,"6' 2"" / 205","12/21/1972 (46 y, 5 m)",Dustin Hermanson,P,195.0
169,Age: 43,Bats/Throws: R/R,"6' 1"" / 210","7/27/1975 (43 y, 9 m, 24 d)",Shea Hillenbrand,1B/3B,196.0
170,Age: 41,Bats/Throws: R/R,"6' 1"" / 190","9/4/1977 (41 y, 8 m, 17 d)",Sun-Woo Kim,P,197.0
171,Age: 33,Bats/Throws: R/R,"6' 1"" / 185","9/30/1985 (33 y, 7 m, 21 d)",Danny Worth,2B/SS,198.0
172,Age: 45,Bats/Throws: R/R,"6' 6"" / 230","6/1/1973 (45 y, 11 m, 20 d)",Derek Lowe,P,199.0
173,Age: 47,Bats/Throws: R/R,"5' 11"" / 195","10/25/1971 (47 y, 6 m, 26 d)",Pedro Martinez,P,200.0
174,Age: 48,Bats/Throws: R/R,"5' 10"" / 200","4/6/1971 (48 y, 1 m, 15 d)",Lou Merloni,2B/3B,201.0
175,Age: 48,Bats/Throws: R/R,"6' 1"" / 220","10/18/1970 (48 y, 7 m, 3 d)",Doug Mirabelli,C,202.0
176,Age: 45,Bats/Throws: B/R,"5' 10"" / 200","1/27/1974 (45 y, 3 m, 24 d)",Bry Nelson,2B/OF,203.0
177,Age: 45,Bats/Throws: L/L,"6' 0"" / 210","4/11/1974 (45 y, 1 m, 10 d)",Trot Nixon,OF,204.0
178,Age: 50,Bats/Throws: B/R,"6' 1"" / 200","11/8/1968 (50 y, 6 m, 13 d)",Jose Offerman,2B/SS,205.0
179,Age: 48,Bats/Throws: R/L,"6' 3"" / 250","10/6/1970 (48 y, 7 m, 15 d)",Darren Oliver,P,206.0
180,Age: 42,Bats/Throws: L/L,"6' 5"" / 295","9/29/1976 (42 y, 7 m, 22 d)",Calvin Pickering,1B/DH,208.0
181,Age: 35,Bats/Throws: B/R,"5' 8"" / 165","10/8/1983 (35 y, 7 m, 13 d)",Antoan Richardson,OF,209.0
182,Age: 46,Bats/Throws: R/R,"6' 0"" / 225","5/30/1972 (46 y, 11 m, 21 d)",Manny Ramirez,OF,210.0
183,Age: 36,Bats/Throws: L/L,"6' 3"" / 205","10/29/1982 (36 y, 6 m, 22 d)",Will Venable,OF,211.0
184,Age: 51,Bats/Throws: R/R,"5' 9"" / 170","10/5/1967 (51 y, 7 m, 16 d)",Rey Sanchez,2B/SS,213.0
185,Age: 39,Bats/Throws: B/R,"5' 11"" / 178","8/14/1979 (39 y, 9 m, 7 d)",Angel Santos,2B,214.0
186,Age: 40,Bats/Throws: L/L,"6' 1"" / 230","6/17/1978 (40 y, 11 m, 4 d)",Dernell Stenson,OF,215.0
187,Age: 45,Bats/Throws: R/R,"6' 0"" / 205","2/15/1974 (45 y, 3 m, 6 d)",Ugueth Urbina,P,216.0
188,Age: 47,Bats/Throws: B/R,"6' 2"" / 230","4/11/1972 (47 y, 1 m, 10 d)",Jason Varitek,C,217.0
189,Age: 52,Bats/Throws: R/R,"6' 2"" / 210","8/2/1966 (52 y, 9 m, 19 d)",Tim Wakefield,P,219.0
190,Age: 52,Bats/Throws: R/R,"6' 3"" / 235","6/18/1966 (52 y, 11 m, 3 d)",Sandy Alomar Jr.,C,221.0
191,Age: 43,Bats/Throws: R/R,"6' 3"" / 221",5/21/1976 (43 y),Rocky Biddle,P,223.0
192,Age: 40,Bats/Throws: B/R,"6' 4"" / 230","11/25/1978 (40 y, 5 m, 26 d)",Joe Borchard,OF,224.0
193,Age: 40,Bats/Throws: L/L,"6' 2"" / 240","3/23/1979 (40 y, 1 m, 28 d)",Mark Buehrle,P,225.0
194,Age: 49,Bats/Throws: R/R,"6' 0"" / 200","1/2/1970 (49 y, 4 m, 19 d)",Royce Clayton,SS,226.0
195,Age: 41,Bats/Throws: R/R,"6' 2"" / 230","4/26/1978 (41 y, 25 d)",Joe Crede,3B,227.0
196,Age: 47,Bats/Throws: B/R,"5' 8"" / 204","11/30/1971 (47 y, 5 m, 21 d)",Ray Durham,2B,230.0
197,Age: 46,Bats/Throws: R/R,"6' 0"" / 210","10/19/1972 (46 y, 7 m, 2 d)",Keith Foulke,P,231.0
198,Age: 39,Bats/Throws: R/R,"6' 6"" / 210","9/27/1979 (39 y, 7 m, 24 d)",Jon Garland,P,232.0
199,Age: 41,Bats/Throws: R/R,"6' 1"" / 220","12/24/1977 (41 y, 4 m, 27 d)",Matt Ginter,P,233.0
200,Age: 42,Bats/Throws: R/R,"6' 5"" / 225","12/3/1976 (42 y, 5 m, 18 d)",Gary Glover,P,234.0
201,Age: 46,Bats/Throws: R/R,"6' 1"" / 190","6/6/1972 (46 y, 11 m, 15 d)",Tony Graffanino,2B,235.0
202,Age: 40,Bats/Throws: L/R,"5' 9"" / 195","6/22/1978 (40 y, 10 m, 29 d)",Willie Harris,2B/OF,236.0
